Date,Close
8/1/2019,55.88
8/2/2019,55.84
8/5/2019,53.76
8/6/2019,53.96
8/7/2019,53.34
8/8/2019,54.65
8/9/2019,53.9
8/12/2019,53.25
8/13/2019,53.97
8/14/2019,52.32
8/15/2019,52.59
8/16/2019,53.59
8/19/2019,53.87
8/20/2019,52.98
8/21/2019,53.24
8/22/2019,53.19
8/23/2019,51.58
8/26/2019,52.13
8/27/2019,52.39
8/28/2019,51.95
8/29/2019,52.16
8/30/2019,52.06
9/3/2019,51.89
9/4/2019,52.97
9/5/2019,53.84
9/6/2019,53.16
9/9/2019,54.54
9/10/2019,55.47
9/11/2019,56.29
9/12/2019,53.89
9/13/2019,53.75
9/16/2019,53.14
9/17/2019,52.87
9/18/2019,52.56
9/19/2019,53.37
9/20/2019,53.47
9/23/2019,54.02
9/24/2019,53.35
9/25/2019,53.84
9/26/2019,53.96
9/27/2019,54.09
9/30/2019,55.03
10/1/2019,53.8
10/2/2019,53.15
10/3/2019,53.86
10/4/2019,55.14
10/7/2019,54.8
10/8/2019,54.05
10/9/2019,54.53
10/10/2019,55.49
10/11/2019,56.89
10/14/2019,56.46
10/15/2019,56.35
10/16/2019,55.88
10/17/2019,55.06
10/18/2019,54.55
10/21/2019,55.13
10/22/2019,54.11
10/23/2019,54.13
10/24/2019,54.26
10/25/2019,54.17
10/28/2019,54.64
10/29/2019,54.8
10/30/2019,54.85
10/31/2019,54.49
11/1/2019,55
11/4/2019,55.45
11/5/2019,55.67
11/6/2019,55.7
11/7/2019,55.98
11/8/2019,56.49
11/11/2019,56.43
11/12/2019,56.59
11/13/2019,56.21
11/14/2019,56.09
11/15/2019,56.42
11/18/2019,56.19
11/19/2019,56.27
11/20/2019,56.24
11/21/2019,56.23
11/22/2019,56.39
11/25/2019,56.56
11/26/2019,56.51
11/27/2019,56.61
11/29/2019,56.14
12/2/2019,55.43
12/3/2019,54.59
12/4/2019,54.41
12/5/2019,54.68
12/6/2019,54.83
12/9/2019,55.31
12/10/2019,55.82
12/11/2019,56.31
12/12/2019,56.47
12/13/2019,54.51
12/16/2019,53.99
12/17/2019,52.84
12/18/2019,53.39
12/19/2019,53.24
12/20/2019,53.6
12/23/2019,53.71
12/24/2019,53.44
12/26/2019,53.57
12/27/2019,53.46
12/30/2019,52.7
12/31/2019,52.98
1/2/2020,53.95
1/3/2020,53.76
1/6/2020,54.04
1/7/2020,54.16
1/8/2020,54.13
1/9/2020,54.38
1/10/2020,54.45
1/13/2020,54.58
